condition,seed,basin,negative_day_fraction,maximum_deficit_mm,nse_decline
zero_L1095,29,11151300,0.9255202628696605,5.605907440185547,7.048593699932098
zero_L1095,29,07208500,1.0,8.342089653015137,4.848511040210724
zero_L1095,29,12092000,1.0,12.979866027832031,0.00722193717956543
zero_L1095,29,06350000,1.0,121.90979766845703,4.266108572483063
zero_L1095,29,11475560,1.0,131.135986328125,-0.018272757530212402
zero_L1095,29,08190500,1.0,30.911832809448242,10.379394292831421
zero_L1095,29,11522500,0.3841730558598028,44.13017272949219,0.014682412147521973
zero_L1095,29,12383500,0.0035596933187294635,1.759131908416748,0.01086270809173584
zero_L1095,29,12035000,1.0,133.58628845214844,0.021183907985687256
zero_L1095,29,09404450,0.9526286966046003,49.139739990234375,-0.1733309030532837
zero_L1095,29,02300700,1.0,59.26169204711914,1.0124059915542603
zero_L1095,29,06280300,0.5955640744797371,9.256610870361328,0.06614816188812256
zero_L1095,29,09513780,0.9671412924424972,7.752676010131836,0.020148813724517822
zero_L1095,29,03455500,0.8975903614457831,166.15968322753906,0.5867270231246948
zero_L1095,29,09047700,1.0,35.75822448730469,2.650590419769287
zero_L1095,29,12411000,1.0,301.91943359375,0.25297820568084717
zero_L1095,29,14138870,1.0,147.46336364746094,0.15894949436187744
zero_L1095,29,01434025,0.9906900328587076,122.10902404785156,0.32332324981689453
zero_L1095,29,08158810,0.9909638554216867,65.7192153930664,0.5322636961936951
zero_L1095,29,02363000,0.9983570646221248,235.08306884765625,2.3020320534706116
zero_L1095,29,10259000,0.3326944140197152,3.533905267715454,0.04879796504974365
zero_L1095,29,04024430,1.0,33.03194808959961,2.0928988456726074
zero_L1095,47,03364500,1.0,187.21034240722656,0.7140741348266602
zero_L1095,47,11230500,0.0807776560788609,7.871754169464111,0.006186306476593018
zero_L1095,47,11151300,1.0,18.971797943115234,23.31981587409973
zero_L1095,47,07208500,0.9564622124863089,11.349857330322266,1.7860941886901855
zero_L1095,47,12092000,0.8042168674698795,7.1084160804748535,-0.0036514997482299805
zero_L1095,47,06350000,0.9994523548740416,33.524295806884766,9.82431036233902
zero_L1095,47,11475560,1.0,65.32621002197266,0.013698101043701172
zero_L1095,47,08190500,1.0,17.83177947998047,85.40244275331497
zero_L1095,47,11522500,1.0,12.628293991088867,-0.010056734085083008
zero_L1095,47,12383500,0.8162650602409639,0.29612720012664795,-0.001846909523010254
zero_L1095,47,12035000,1.0,22.182029724121094,0.027620255947113037
zero_L1095,47,09404450,0.9989047097480832,71.53813934326172,16.982183516025543
zero_L1095,47,02300700,1.0,24.95862579345703,0.7220931649208069
zero_L1095,47,06280300,0.4372946330777656,5.110992431640625,0.02879047393798828
zero_L1095,47,09513780,1.0,43.160099029541016,1.4922770857810974
zero_L1095,47,03455500,0.9455093099671413,14.346208572387695,0.40664851665496826
zero_L1095,47,09047700,0.5120481927710844,7.362053871154785,0.5856765508651733
zero_L1095,47,12411000,0.6495071193866374,26.69205093383789,0.26693499088287354
zero_L1095,47,14138870,1.0,20.862680435180664,0.11945343017578125
zero_L1095,47,01434025,1.0,18.605871200561523,0.2478901743888855
zero_L1095,47,08158810,1.0,238.89364624023438,0.25767087936401367
zero_L1095,47,02363000,1.0,169.14630126953125,2.574807047843933
zero_L1095,47,10259000,1.0,78.69448852539062,1.7894301414489746
